Engine_Supplier_Region,Engine_Transport_Mode,Is_Critical_Engine,Transmission_Supplier_Region,Transmission_Transport_Mode,Is_Critical_Transmission,Brake_System_Supplier_Region,Brake_System_Transport_Mode,Is_Critical_Brake_System,Suspension_Supplier_Region,Suspension_Transport_Mode,Is_Critical_Suspension,Infotainment_Supplier_Region,Infotainment_Transport_Mode,Is_Critical_Infotainment,Car_Delayed,Engine_Delayed_Flag,Transmission_Delayed_Flag,Brake_System_Delayed_Flag,Suspension_Delayed_Flag,Infotainment_Delayed_Flag,Any_Critical_Part_Delayed,Order_Urgency,Holiday_Proximity,Weather_Condition_On_Delivery,Strike_Notice,Production_Shift,Total_Parts_Delayed,Route_Type,Distance_KM,Traffic_Level,Supplier_Performance_Score,Contract_Penalty_Per_Day,Engine_Supplier_Group,Transmission_Supplier_Group,Brake_System_Supplier_Group,Suspension_Supplier_Group,Infotainment_Supplier_Group,Engine_Reliability_Score,Transmission_Reliability_Score,Brake_System_Reliability_Score,Suspension_Reliability_Score,Infotainment_Reliability_Score,Traffic_Severity_Index,Month_Scheduled,Quarter_Scheduled,Sum_Critical_Parts_Delayed
SOUTH,SEA,1,EAST,SEA,1,NORTH,SEA,1,WEST,AIR,1,SOUTH,AIR,1,1,1,0,1,1,0,1,MEDIUM,0,CLEAR,0,MORNING,3,MIXED,137.8031546595128,MODERATE,0.2,250,SOUTH_SEA,EAST_SEA,NORTH_SEA,WEST_AIR,SOUTH_AIR,0.3164556962025316,0.3424657534246575,0.2738095238095238,0.3218390804597701,0.3375,1.2,2,1,3
WEST,ROAD,1,WEST,ROAD,1,SOUTH,AIR,1,SOUTH,SEA,1,SOUTH,AIR,1,1,1,0,0,1,1,1,MEDIUM,0,RAIN,0,EVENING,3,RURAL,317.71365717040584,MODERATE,0.1,250,WEST_ROAD,WEST_ROAD,SOUTH_AIR,SOUTH_SEA,SOUTH_AIR,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2183908045977011,0.3375,1.2,2,1,3
WEST,SEA,1,EAST,AIR,1,SOUTH,SEA,1,WEST,ROAD,1,WEST,SEA,0,1,0,1,1,0,1,1,HIGH,0,CLEAR,0,MORNING,3,MIXED,75.05628618514248,HIGH,0.0,250,WEST_SEA,EAST_AIR,SOUTH_SEA,WEST_ROAD,WEST_SEA,0.2435897435897435,0.3285714285714285,0.2826086956521739,0.3563218390804598,0.4,1.5,2,1,2
EAST,AIR,0,SOUTH,AIR,1,NORTH,AIR,1,WEST,SEA,1,NORTH,SEA,1,0,0,1,1,0,1,1,LOW,0,RAIN,0,NIGHT,3,URBAN,26.922226115387453,LOW,0.61,100,EAST_AIR,SOUTH_AIR,NORTH_AIR,WEST_SEA,NORTH_SEA,0.2435897435897435,0.3,0.2602739726027397,0.2352941176470588,0.3246753246753247,1.0,2,1,3
EAST,AIR,1,WEST,SEA,1,WEST,ROAD,1,SOUTH,AIR,0,WEST,ROAD,1,1,1,0,0,1,0,1,LOW,0,STORM,0,NIGHT,2,URBAN,17.414294105425842,LOW,0.53,100,EAST_AIR,WEST_SEA,WEST_ROAD,SOUTH_AIR,WEST_ROAD,0.2435897435897435,0.2839506172839506,0.2717391304347826,0.2891566265060241,0.3555555555555555,1.0,2,1,1
EAST,ROAD,1,WEST,AIR,1,WEST,ROAD,1,SOUTH,AIR,1,SOUTH,SEA,0,0,0,1,1,1,0,1,MEDIUM,1,SNOW,0,EVENING,3,RURAL,159.03416743232043,LOW,0.96,250,EAST_ROAD,WEST_AIR,WEST_ROAD,SOUTH_AIR,SOUTH_SEA,0.3026315789473684,0.2790697674418604,0.2717391304347826,0.2891566265060241,0.3452380952380952,1.0,2,1,3
WEST,ROAD,1,SOUTH,ROAD,1,WEST,SEA,0,SOUTH,AIR,0,EAST,ROAD,1,1,0,1,1,0,1,1,LOW,0,CLEAR,0,NIGHT,3,URBAN,22.16496602393405,MODERATE,0.62,100,WEST_ROAD,SOUTH_ROAD,WEST_SEA,SOUTH_AIR,EAST_ROAD,0.2435897435897435,0.3055555555555556,0.35,0.2891566265060241,0.2988505747126437,1.2,2,1,2
EAST,AIR,1,SOUTH,ROAD,1,WEST,ROAD,1,EAST,SEA,1,WEST,AIR,0,1,0,1,1,1,0,1,MEDIUM,0,STORM,0,EVENING,3,RURAL,208.6667257009112,LOW,0.37,100,EAST_AIR,SOUTH_ROAD,WEST_ROAD,EAST_SEA,WEST_AIR,0.2435897435897435,0.3055555555555556,0.2717391304347826,0.2391304347826087,0.3409090909090909,1.0,2,1,3
SOUTH,AIR,0,EAST,ROAD,0,SOUTH,SEA,1,WEST,AIR,0,WEST,AIR,0,0,0,0,0,0,1,0,LOW,0,CLEAR,0,MORNING,1,URBAN,51.54017269778109,MODERATE,0.96,500,SOUTH_AIR,EAST_ROAD,SOUTH_SEA,WEST_AIR,WEST_AIR,0.2702702702702703,0.2790697674418604,0.2826086956521739,0.3218390804597701,0.3409090909090909,1.2,2,1,0
EAST,SEA,0,EAST,AIR,1,EAST,ROAD,1,WEST,ROAD,0,WEST,AIR,0,0,0,1,0,1,0,1,HIGH,0,RAIN,1,MORNING,2,MIXED,189.64230432604663,LOW,0.87,100,EAST_SEA,EAST_AIR,EAST_ROAD,WEST_ROAD,WEST_AIR,0.2435897435897435,0.3285714285714285,0.2602739726027397,0.3563218390804598,0.3409090909090909,1.0,2,1,1
SOUTH,AIR,1,EAST,ROAD,0,NORTH,SEA,1,NORTH,ROAD,1,EAST,SEA,0,0,0,0,1,0,1,1,MEDIUM,0,CLEAR,0,MORNING,2,MIXED,109.07966084812378,LOW,0.63,250,SOUTH_AIR,EAST_ROAD,NORTH_SEA,NORTH_ROAD,EAST_SEA,0.2702702702702703,0.2790697674418604,0.2738095238095238,0.2688172043010752,0.2988505747126437,1.0,2,1,1
SOUTH,AIR,1,WEST,AIR,0,SOUTH,ROAD,1,SOUTH,SEA,1,NORTH,ROAD,1,1,1,1,1,1,1,1,MEDIUM,1,CLEAR,0,MORNING,5,URBAN,40.44407553950485,MODERATE,0.37,250,SOUTH_AIR,WEST_AIR,SOUTH_ROAD,SOUTH_SEA,NORTH_ROAD,0.2702702702702703,0.2790697674418604,0.2888888888888888,0.2183908045977011,0.3103448275862069,1.2,2,1,4
NORTH,SEA,0,SOUTH,SEA,0,NORTH,SEA,0,NORTH,AIR,1,EAST,ROAD,1,0,1,1,1,0,0,0,LOW,0,CLEAR,0,MORNING,3,URBAN,30.39907620042892,LOW,0.9,100,NORTH_SEA,SOUTH_SEA,NORTH_SEA,NORTH_AIR,EAST_ROAD,0.2894736842105263,0.3163265306122449,0.2738095238095238,0.3116883116883117,0.2988505747126437,1.0,2,1,0
WEST,ROAD,1,SOUTH,AIR,0,SOUTH,AIR,0,EAST,SEA,0,EAST,AIR,1,0,1,0,1,1,0,1,LOW,0,SNOW,0,EVENING,3,URBAN,73.81544675058248,HIGH,0.69,1000,WEST_ROAD,SOUTH_AIR,WEST_AIR,EAST_SEA,EAST_AIR,0.2435897435897435,0.3,0.2826086956521739,0.2391304347826087,0.2988505747126437,1.5,2,1,1
WEST,ROAD,0,NORTH,SEA,0,NORTH,ROAD,0,SOUTH,ROAD,1,EAST,ROAD,0,0,1,1,0,1,0,1,LOW,0,CLEAR,0,MORNING,3,URBAN,47.95488341861099,LOW,0.52,250,WEST_ROAD,NORTH_SEA,NORTH_ROAD,SOUTH_ROAD,EAST_ROAD,0.2435897435897435,0.4375,0.3289473684210526,0.2244897959183673,0.2988505747126437,1.0,2,1,1
NORTH,SEA,0,NORTH,ROAD,0,WEST,ROAD,1,WEST,ROAD,0,EAST,AIR,0,0,0,1,0,1,1,0,MEDIUM,0,CLEAR,0,EVENING,3,RURAL,393.41352234145177,MODERATE,0.95,100,NORTH_SEA,NORTH_ROAD,WEST_ROAD,WEST_ROAD,EAST_AIR,0.2894736842105263,0.3291139240506329,0.2717391304347826,0.3563218390804598,0.2988505747126437,1.2,2,1,0
NORTH,SEA,0,EAST,ROAD,0,SOUTH,ROAD,1,SOUTH,SEA,1,WEST,ROAD,1,1,1,1,1,0,1,1,MEDIUM,0,CLEAR,0,MORNING,4,RURAL,371.134734455834,MODERATE,0.0,100,NORTH_SEA,EAST_ROAD,WEST_AIR,SOUTH_SEA,WEST_ROAD,0.2894736842105263,0.2790697674418604,0.2826086956521739,0.2183908045977011,0.3555555555555555,1.2,2,1,2
SOUTH,SEA,0,EAST,ROAD,1,NORTH,ROAD,1,NORTH,SEA,0,NORTH,AIR,1,1,0,0,1,0,1,1,LOW,1,CLEAR,0,EVENING,2,URBAN,94.04875157751144,HIGH,0.37,1000,SOUTH_SEA,EAST_ROAD,NORTH_ROAD,NORTH_SEA,NORTH_AIR,0.3164556962025316,0.2790697674418604,0.3289473684210526,0.1969696969696969,0.325,1.5,2,1,2
WEST,AIR,0,EAST,ROAD,0,SOUTH,SEA,0,EAST,SEA,1,EAST,SEA,0,1,1,1,1,1,0,1,LOW,0,SNOW,0,MORNING,4,URBAN,45.655542244832986,LOW,0.66,250,WEST_AIR,EAST_ROAD,SOUTH_SEA,EAST_SEA,EAST_SEA,0.3461538461538461,0.2790697674418604,0.2826086956521739,0.2391304347826087,0.2988505747126437,1.0,2,1,1
WEST,SEA,0,EAST,SEA,1,SOUTH,SEA,1,WEST,SEA,1,WEST,SEA,1,1,1,1,1,1,0,1,MEDIUM,0,SNOW,1,MORNING,4,MIXED,191.69213292110348,LOW,0.2,250,WEST_SEA,EAST_SEA,SOUTH_SEA,WEST_SEA,WEST_SEA,0.2926829268292683,0.3424657534246575,0.2826086956521739,0.2352941176470588,0.4,1.0,2,1,3
NORTH,AIR,1,EAST,SEA,1,NORTH,SEA,1,EAST,ROAD,1,EAST,ROAD,1,1,1,1,0,1,1,1,HIGH,0,RAIN,1,EVENING,4,MIXED,137.2957102871598,LOW,0.7,100,NORTH_AIR,EAST_SEA,NORTH_SEA,EAST_ROAD,EAST_ROAD,0.3857142857142857,0.3424657534246575,0.2738095238095238,0.2647058823529412,0.2988505747126437,1.0,2,1,4
EAST,ROAD,0,SOUTH,SEA,1,EAST,AIR,1,EAST,ROAD,1,EAST,SEA,1,1,0,1,1,1,1,1,LOW,0,STORM,0,EVENING,4,URBAN,66.15062526624746,LOW,0.59,500,EAST_ROAD,SOUTH_SEA,EAST_AIR,EAST_ROAD,EAST_SEA,0.3026315789473684,0.3163265306122449,0.3835616438356164,0.2647058823529412,0.2988505747126437,1.0,2,1,4
WEST,ROAD,1,NORTH,AIR,0,WEST,ROAD,1,WEST,ROAD,1,WEST,AIR,0,1,0,1,0,1,1,1,MEDIUM,1,CLEAR,0,NIGHT,3,RURAL,176.9336205702232,HIGH,0.63,1000,WEST_ROAD,NORTH_AIR,WEST_ROAD,WEST_ROAD,WEST_AIR,0.2435897435897435,0.2790697674418604,0.2717391304347826,0.3563218390804598,0.3409090909090909,1.5,2,1,1
WEST,SEA,1,SOUTH,SEA,1,SOUTH,AIR,1,SOUTH,ROAD,0,WEST,AIR,1,1,1,1,1,1,1,1,LOW,0,CLEAR,0,EVENING,5,URBAN,79.9039501259663,MODERATE,0.48,250,WEST_SEA,SOUTH_SEA,SOUTH_AIR,SOUTH_ROAD,WEST_AIR,0.2435897435897435,0.3163265306122449,0.2602739726027397,0.2244897959183673,0.3409090909090909,1.2,2,1,4
EAST,AIR,1,SOUTH,SEA,1,SOUTH,SEA,1,EAST,AIR,0,SOUTH,AIR,1,1,1,1,1,1,1,1,MEDIUM,0,RAIN,0,MORNING,5,RURAL,202.8702621233151,LOW,0.23,500,EAST_AIR,SOUTH_SEA,SOUTH_SEA,EAST_AIR,SOUTH_AIR,0.2435897435897435,0.3163265306122449,0.2826086956521739,0.2528735632183908,0.3375,1.0,2,1,4
WEST,ROAD,1,EAST,ROAD,1,WEST,SEA,0,NORTH,SEA,1,EAST,AIR,1,0,0,0,1,0,1,1,HIGH,0,CLEAR,0,EVENING,2,MIXED,59.80492363465778,LOW,0.86,500,WEST_ROAD,EAST_ROAD,WEST_SEA,NORTH_SEA,EAST_AIR,0.2435897435897435,0.2790697674418604,0.35,0.1969696969696969,0.2988505747126437,1.0,2,1,1
SOUTH,ROAD,1,NORTH,AIR,0,SOUTH,ROAD,0,WEST,ROAD,1,EAST,AIR,1,1,1,1,0,0,1,1,MEDIUM,0,CLEAR,0,EVENING,3,URBAN,47.45385983617854,HIGH,0.37,100,SOUTH_ROAD,NORTH_AIR,SOUTH_ROAD,WEST_ROAD,EAST_AIR,0.3214285714285714,0.4375,0.2888888888888888,0.3563218390804598,0.2988505747126437,1.5,2,1,2
NORTH,ROAD,1,SOUTH,SEA,0,NORTH,ROAD,1,NORTH,ROAD,0,WEST,ROAD,0,1,0,1,1,0,1,1,HIGH,1,CLEAR,0,EVENING,3,MIXED,122.20162274529856,MODERATE,0.81,750,NORTH_ROAD,SOUTH_SEA,NORTH_ROAD,NORTH_ROAD,WEST_ROAD,0.2926829268292683,0.3163265306122449,0.3289473684210526,0.2688172043010752,0.3555555555555555,1.2,2,1,1
WEST,SEA,1,NORTH,SEA,1,NORTH,AIR,1,NORTH,SEA,1,EAST,ROAD,0,0,0,1,1,0,1,1,LOW,0,CLEAR,0,MORNING,3,URBAN,50.48061839391902,LOW,0.93,250,WEST_SEA,NORTH_SEA,NORTH_AIR,NORTH_SEA,EAST_ROAD,0.2435897435897435,0.4375,0.2602739726027397,0.1969696969696969,0.2988505747126437,1.0,2,1,2
NORTH,SEA,0,EAST,SEA,1,SOUTH,SEA,0,EAST,ROAD,1,EAST,ROAD,1,1,1,1,1,0,1,1,LOW,0,CLEAR,0,NIGHT,4,URBAN,32.384284532886696,MODERATE,0.15,500,NORTH_SEA,EAST_SEA,WEST_AIR,EAST_ROAD,EAST_ROAD,0.2894736842105263,0.3424657534246575,0.2826086956521739,0.2647058823529412,0.2988505747126437,1.2,2,1,2
SOUTH,AIR,1,EAST,SEA,1,NORTH,AIR,1,NORTH,ROAD,0,SOUTH,ROAD,1,0,0,0,0,1,0,0,HIGH,0,RAIN,0,EVENING,1,MIXED,166.0209688529901,LOW,0.71,1000,SOUTH_AIR,EAST_SEA,NORTH_AIR,NORTH_ROAD,SOUTH_ROAD,0.2702702702702703,0.3424657534246575,0.2602739726027397,0.2688172043010752,0.2988505747126437,1.0,2,1,0
NORTH,AIR,0,NORTH,SEA,1,WEST,ROAD,0,WEST,SEA,0,SOUTH,AIR,0,0,1,0,0,0,1,0,LOW,0,CLEAR,0,EVENING,2,URBAN,18.59817824512014,MODERATE,0.62,750,NORTH_AIR,NORTH_SEA,WEST_ROAD,WEST_SEA,SOUTH_AIR,0.3857142857142857,0.4375,0.2717391304347826,0.2352941176470588,0.3375,1.2,2,1,0
WEST,ROAD,1,EAST,ROAD,1,SOUTH,SEA,1,NORTH,AIR,0,WEST,AIR,1,1,0,0,1,0,1,1,MEDIUM,1,STORM,0,EVENING,2,RURAL,229.8279201821264,LOW,0.45,100,WEST_ROAD,EAST_ROAD,SOUTH_SEA,NORTH_AIR,WEST_AIR,0.2435897435897435,0.2790697674418604,0.2826086956521739,0.3116883116883117,0.3409090909090909,1.0,2,1,2
WEST,SEA,1,WEST,SEA,1,WEST,AIR,0,WEST,AIR,1,WEST,AIR,1,1,1,1,0,0,1,1,LOW,0,CLEAR,0,NIGHT,3,URBAN,81.07286564282312,MODERATE,0.61,100,WEST_SEA,WEST_SEA,WEST_AIR,WEST_AIR,WEST_AIR,0.2435897435897435,0.2839506172839506,0.2842105263157894,0.3218390804597701,0.3409090909090909,1.2,2,1,3
NORTH,SEA,1,NORTH,SEA,1,EAST,AIR,1,WEST,AIR,1,WEST,AIR,1,0,0,0,1,1,1,1,HIGH,0,CLEAR,0,EVENING,3,MIXED,112.03236522880272,LOW,0.62,250,NORTH_SEA,NORTH_SEA,EAST_AIR,WEST_AIR,WEST_AIR,0.2894736842105263,0.4375,0.3835616438356164,0.3218390804597701,0.3409090909090909,1.0,2,1,3
SOUTH,AIR,1,NORTH,AIR,0,SOUTH,ROAD,1,SOUTH,AIR,1,NORTH,ROAD,0,1,1,1,1,1,1,1,LOW,1,RAIN,0,EVENING,5,URBAN,24.35902121018696,LOW,0.7,100,SOUTH_AIR,NORTH_AIR,SOUTH_ROAD,SOUTH_AIR,NORTH_ROAD,0.2702702702702703,0.2790697674418604,0.2888888888888888,0.2891566265060241,0.3103448275862069,1.0,2,1,3
WEST,SEA,1,NORTH,AIR,1,SOUTH,AIR,1,SOUTH,ROAD,0,WEST,SEA,1,1,1,0,1,0,1,1,MEDIUM,0,STORM,0,NIGHT,3,RURAL,357.3427246308312,MODERATE,0.0,750,WEST_SEA,NORTH_AIR,SOUTH_AIR,SOUTH_ROAD,WEST_SEA,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2244897959183673,0.4,1.2,2,1,3
EAST,AIR,1,SOUTH,ROAD,1,SOUTH,ROAD,1,WEST,SEA,1,WEST,ROAD,1,1,1,1,1,1,0,1,MEDIUM,0,SNOW,0,NIGHT,4,RURAL,244.4123640309464,MODERATE,0.21,100,EAST_AIR,SOUTH_ROAD,SOUTH_ROAD,WEST_SEA,WEST_ROAD,0.2435897435897435,0.3055555555555556,0.2888888888888888,0.2352941176470588,0.3555555555555555,1.2,2,1,4
NORTH,AIR,1,EAST,ROAD,1,WEST,AIR,1,NORTH,ROAD,1,EAST,SEA,1,1,1,0,1,1,1,1,LOW,1,CLEAR,0,MORNING,4,URBAN,51.86850510553463,HIGH,0.0,100,NORTH_AIR,EAST_ROAD,WEST_AIR,NORTH_ROAD,EAST_SEA,0.3857142857142857,0.2790697674418604,0.2842105263157894,0.2688172043010752,0.2988505747126437,1.5,2,1,4
WEST,ROAD,0,WEST,ROAD,1,SOUTH,SEA,1,NORTH,SEA,1,SOUTH,SEA,0,1,0,0,1,0,0,1,LOW,0,CLEAR,0,EVENING,1,URBAN,88.72315054157795,MODERATE,0.65,100,WEST_ROAD,WEST_ROAD,SOUTH_SEA,NORTH_SEA,SOUTH_SEA,0.2435897435897435,0.2790697674418604,0.2826086956521739,0.1969696969696969,0.3452380952380952,1.2,2,1,1
WEST,ROAD,0,WEST,AIR,0,WEST,ROAD,1,EAST,ROAD,1,WEST,AIR,0,1,0,0,0,1,0,1,LOW,0,CLEAR,0,MORNING,1,URBAN,89.20711788053124,HIGH,0.87,500,WEST_ROAD,WEST_AIR,WEST_ROAD,EAST_ROAD,WEST_AIR,0.2435897435897435,0.2790697674418604,0.2717391304347826,0.2647058823529412,0.3409090909090909,1.5,2,1,1
NORTH,ROAD,1,EAST,AIR,1,EAST,AIR,1,WEST,SEA,1,NORTH,SEA,1,0,1,0,0,0,0,1,HIGH,0,CLEAR,0,EVENING,1,MIXED,106.96786702688448,MODERATE,0.79,250,NORTH_ROAD,EAST_AIR,EAST_AIR,WEST_SEA,NORTH_SEA,0.2926829268292683,0.3285714285714285,0.3835616438356164,0.2352941176470588,0.3246753246753247,1.2,2,1,1
WEST,AIR,1,SOUTH,AIR,1,NORTH,ROAD,1,SOUTH,SEA,1,SOUTH,ROAD,1,1,1,0,0,0,0,1,MEDIUM,0,CLEAR,0,EVENING,1,MIXED,160.46030225984606,MODERATE,0.36,1000,WEST_SEA,SOUTH_AIR,NORTH_ROAD,SOUTH_SEA,SOUTH_ROAD,0.2926829268292683,0.3,0.3289473684210526,0.2183908045977011,0.2988505747126437,1.2,2,1,1
SOUTH,SEA,0,SOUTH,AIR,1,WEST,SEA,1,NORTH,ROAD,1,NORTH,SEA,0,1,0,0,1,0,0,1,MEDIUM,0,RAIN,0,EVENING,1,RURAL,449.0347826793527,HIGH,0.52,500,WEST_SEA,SOUTH_SEA,WEST_SEA,NORTH_ROAD,NORTH_SEA,0.2926829268292683,0.3,0.35,0.2688172043010752,0.3246753246753247,1.5,2,1,1
SOUTH,ROAD,1,SOUTH,AIR,1,NORTH,AIR,1,EAST,AIR,0,SOUTH,ROAD,0,0,0,1,0,1,1,1,MEDIUM,0,CLEAR,0,MORNING,3,RURAL,465.2456524039405,LOW,0.98,100,SOUTH_ROAD,SOUTH_AIR,NORTH_AIR,EAST_AIR,SOUTH_ROAD,0.3214285714285714,0.3,0.2602739726027397,0.2528735632183908,0.2988505747126437,1.0,2,1,1
EAST,ROAD,1,EAST,ROAD,0,NORTH,ROAD,1,SOUTH,SEA,0,NORTH,SEA,0,1,0,1,1,1,0,1,LOW,0,CLEAR,0,EVENING,3,URBAN,78.34584361761674,MODERATE,0.19,500,EAST_ROAD,EAST_ROAD,NORTH_ROAD,SOUTH_SEA,NORTH_SEA,0.3026315789473684,0.2790697674418604,0.3289473684210526,0.2183908045977011,0.3246753246753247,1.2,2,1,1
EAST,AIR,0,WEST,AIR,1,EAST,SEA,1,SOUTH,ROAD,0,EAST,ROAD,1,0,0,0,0,1,1,1,HIGH,0,STORM,0,EVENING,2,MIXED,140.9379406626466,MODERATE,0.72,100,EAST_AIR,WEST_AIR,EAST_SEA,SOUTH_ROAD,EAST_ROAD,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2244897959183673,0.2988505747126437,1.2,2,1,1
WEST,AIR,1,EAST,AIR,0,SOUTH,AIR,0,SOUTH,AIR,1,SOUTH,SEA,0,1,1,1,1,1,0,1,MEDIUM,1,CLEAR,0,EVENING,4,MIXED,180.2934751933416,MODERATE,0.62,1000,WEST_AIR,EAST_AIR,SOUTH_AIR,SOUTH_AIR,SOUTH_SEA,0.3461538461538461,0.3285714285714285,0.2602739726027397,0.2891566265060241,0.3452380952380952,1.2,2,1,2
SOUTH,AIR,1,SOUTH,ROAD,0,EAST,SEA,1,WEST,AIR,0,SOUTH,SEA,1,1,0,1,0,1,1,1,MEDIUM,0,STORM,0,EVENING,3,URBAN,62.418039238652185,HIGH,0.23,250,SOUTH_AIR,SOUTH_ROAD,EAST_SEA,WEST_AIR,SOUTH_SEA,0.2702702702702703,0.3055555555555556,0.2602739726027397,0.3218390804597701,0.3452380952380952,1.5,2,1,1
EAST,AIR,0,WEST,AIR,1,EAST,SEA,1,SOUTH,ROAD,0,EAST,ROAD,1,0,0,0,0,1,1,1,HIGH,0,STORM,0,EVENING,2,RURAL,293.8834609102473,LOW,0.8,250,EAST_AIR,WEST_AIR,EAST_SEA,SOUTH_ROAD,EAST_ROAD,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2244897959183673,0.2988505747126437,1.0,2,1,1
SOUTH,AIR,1,EAST,SEA,1,WEST,ROAD,1,EAST,AIR,0,WEST,ROAD,0,0,0,0,0,0,1,0,MEDIUM,0,CLEAR,0,MORNING,1,MIXED,117.55564043872778,MODERATE,0.86,500,SOUTH_AIR,EAST_SEA,WEST_ROAD,EAST_AIR,WEST_ROAD,0.2702702702702703,0.3424657534246575,0.2717391304347826,0.2528735632183908,0.3555555555555555,1.2,2,1,0
EAST,SEA,1,WEST,SEA,1,EAST,ROAD,1,NORTH,SEA,1,EAST,AIR,0,0,0,0,0,0,1,0,MEDIUM,0,CLEAR,0,MORNING,1,RURAL,293.85996443234666,LOW,0.57,250,EAST_SEA,WEST_SEA,EAST_ROAD,NORTH_SEA,EAST_AIR,0.2435897435897435,0.2839506172839506,0.2602739726027397,0.1969696969696969,0.2988505747126437,1.0,2,1,0
WEST,ROAD,0,WEST,AIR,1,EAST,SEA,1,EAST,SEA,1,WEST,SEA,0,0,0,0,0,0,1,0,MEDIUM,0,RAIN,0,EVENING,1,RURAL,165.19438649918672,LOW,0.99,750,WEST_ROAD,WEST_AIR,EAST_SEA,EAST_SEA,WEST_SEA,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2391304347826087,0.4,1.0,2,1,0
SOUTH,SEA,0,EAST,ROAD,0,SOUTH,SEA,0,NORTH,SEA,1,EAST,AIR,1,0,0,0,1,1,1,1,MEDIUM,0,CLEAR,0,EVENING,3,RURAL,236.4425796752,LOW,0.77,100,SOUTH_SEA,EAST_ROAD,SOUTH_SEA,NORTH_SEA,EAST_AIR,0.3164556962025316,0.2790697674418604,0.2826086956521739,0.1969696969696969,0.2988505747126437,1.0,2,1,2
WEST,ROAD,0,NORTH,SEA,1,SOUTH,AIR,0,NORTH,SEA,0,EAST,AIR,1,1,1,1,0,1,1,1,MEDIUM,0,CLEAR,0,NIGHT,4,MIXED,118.7280330106839,MODERATE,0.57,750,WEST_ROAD,NORTH_SEA,SOUTH_AIR,NORTH_SEA,EAST_AIR,0.2435897435897435,0.4375,0.2602739726027397,0.1969696969696969,0.2988505747126437,1.2,2,1,2
WEST,SEA,1,WEST,ROAD,0,WEST,AIR,0,NORTH,SEA,0,EAST,ROAD,0,0,1,0,1,0,0,1,MEDIUM,0,RAIN,0,NIGHT,2,URBAN,22.824598861136188,LOW,0.91,100,WEST_SEA,WEST_ROAD,WEST_AIR,NORTH_SEA,EAST_ROAD,0.2435897435897435,0.2790697674418604,0.2842105263157894,0.1969696969696969,0.2988505747126437,1.0,2,1,1
WEST,SEA,1,WEST,AIR,0,SOUTH,AIR,1,NORTH,AIR,1,WEST,AIR,1,1,1,0,0,0,0,1,LOW,0,CLEAR,0,MORNING,1,URBAN,22.01319751743494,MODERATE,0.3,100,WEST_SEA,WEST_AIR,SOUTH_AIR,NORTH_AIR,WEST_AIR,0.2926829268292683,0.2790697674418604,0.2602739726027397,0.3116883116883117,0.3409090909090909,1.2,2,1,1
EAST,AIR,1,NORTH,AIR,1,EAST,SEA,1,SOUTH,AIR,1,WEST,AIR,1,1,0,0,1,0,1,1,LOW,0,CLEAR,0,MORNING,2,URBAN,62.20775870540301,HIGH,0.42,100,EAST_AIR,NORTH_AIR,EAST_SEA,SOUTH_AIR,WEST_AIR,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2891566265060241,0.3409090909090909,1.5,2,1,2
WEST,SEA,0,WEST,ROAD,1,SOUTH,ROAD,1,EAST,ROAD,0,EAST,ROAD,0,0,1,0,1,1,0,1,HIGH,0,CLEAR,0,MORNING,3,MIXED,184.70458234249804,HIGH,0.82,500,WEST _SEA,WEST_ROAD,WEST_AIR,EAST_ROAD,EAST_ROAD,0.3857142857142857,0.2790697674418604,0.2826086956521739,0.2647058823529412,0.2988505747126437,1.5,2,1,1
NORTH,ROAD,1,EAST,SEA,0,SOUTH,SEA,0,SOUTH,ROAD,0,WEST,AIR,1,1,1,1,1,0,1,1,MEDIUM,1,RAIN,0,EVENING,4,URBAN,97.42555846374756,MODERATE,0.16,250,NORTH_ROAD,EAST_SEA,SOUTH_SEA,SOUTH_ROAD,WEST_AIR,0.2926829268292683,0.3424657534246575,0.2826086956521739,0.2244897959183673,0.3409090909090909,1.2,2,1,2
EAST,SEA,1,SOUTH,ROAD,0,WEST,ROAD,1,WEST,ROAD,0,EAST,SEA,0,0,0,1,1,1,0,1,MEDIUM,1,CLEAR,0,EVENING,3,RURAL,406.4805406681877,LOW,0.96,250,EAST_SEA,SOUTH_ROAD,WEST_ROAD,WEST_ROAD,EAST_SEA,0.2435897435897435,0.3055555555555556,0.2717391304347826,0.3563218390804598,0.2988505747126437,1.0,2,1,1
WEST,SEA,1,SOUTH,SEA,1,WEST,ROAD,1,NORTH,AIR,1,WEST,AIR,1,1,1,0,0,1,1,1,LOW,0,CLEAR,0,MORNING,3,URBAN,23.850631570586955,HIGH,0.48,100,WEST_SEA,SOUTH_SEA,WEST_ROAD,NORTH_AIR,WEST_AIR,0.2435897435897435,0.3163265306122449,0.2717391304347826,0.3116883116883117,0.3409090909090909,1.5,2,1,3
